BV2 CONTROL (1),BV2 + TGFB (1),BV2 + IL10 (1),BV2 + LPS (1),BV2 CONTROL (2),BV2 + TGFB (2),BV2 + IL10 (2),BV2 + LPS (2),BV2 CONTROL (3),BV2 + TGFB (3),BV2 + IL10 (3),BV2 + LPS (3),BV2 CONTROL (4),BV2 + TGFB (4),BV2 + IL10 (4),BV2 + LPS (4),Student's T-test Significant BV2 + TGFB_BV2 CONTROL,Student's T-test significant,Student's T-test Significant BV2 + IL10_BV2 CONTROL,Student's T-test significant_,Student's T-test Significant BV2 + LPS_BV2 CONTROL,Student's T-test significant__,Peptides,Razor + unique peptides,Unique peptides,Score,MS/MS count,-Log Student's T-test p-value BV2 + TGFB_BV2 CONTROL,Student's T-test Difference BV2 + TGFB_BV2 CONTROL,Student's T-test Test statistic BV2 + TGFB_BV2 CONTROL,-Log Student's T-test p-value BV2 + IL10_BV2 CONTROL,Student's T-test Difference BV2 + IL10_BV2 CONTROL,Student's T-test Test statistic BV2 + IL10_BV2 CONTROL,-Log Student's T-test p-value BV2 + LPS_BV2 CONTROL,Student's T-test Difference BV2 + LPS_BV2 CONTROL,Student's T-test Test statistic BV2 + LPS_BV2 CONTROL,Majority protein IDs,Protein names,Gene names
14.97933578,13.66054535,15.48837376,13.22116089,15.09440804,14.35999489,14.22985172,16.12090683,15.56167603,13.26002407,14.39504528,16.14274597,15.54427052,14.4343977,15.21670818,15.76789951,+,BV2 + TGFB_BV2 CONTROL,,,,,1,1,1,2.6577,1,2.274208832,-1.366182089,-4.260464825,0.647142529,-0.462427855,-1.351212633,0.00852725,0.018255711,0.025403696,Q6NS82;A0A087WPR9;Q6NS82-2;Q6NS82-3,Protein FAM134A,Fam134a
16.6580162,16.99391174,16.79004288,18.05282211,17.22345543,13.98698997,16.76136971,17.86942482,17.33245659,12.6075573,18.37296677,14.92585087,14.01889229,17.54660797,17.58292198,16.92717552,,,,,,,1,1,1,17.367,5,0.303395836,-1.024438381,-0.722300656,0.579130379,1.068620205,1.233390459,0.244389621,0.635613203,0.601287356,Q8VEE0;M0QWJ2;A0A087WQM3;M0QWQ0;Q91VZ4;Q62505;Q3UDM8;B2KGF0,Ribulose-phosphate 3-epimerase,Rpe
17.14758301,15.61151505,17.11715698,15.00654507,16.95764542,15.33263111,17.1515522,17.71256638,16.3110218,14.96172142,15.82766533,13.89775085,15.25148201,17.09805298,16.97600555,13.84264469,,,,,,,4,4,3,3.5223,13,0.476013049,-0.665952921,-1.049937399,0.272888821,0.351161957,0.660473465,0.616890417,-1.302056313,-1.299060585,Q9CQC6;A0A087WQS2;Q9CVI6;A0A087WPF9,Basic leucine zipper and W2 domain-containing protein 1,Bzw1
15.18029785,15.15833378,15.62019157,17.81202698,15.38174534,15.39208221,15.63566113,15.71770287,16.27025795,16.68510437,17.41204071,15.86326694,15.76787376,15.37507343,16.99766541,15.81925583,,,,,,,3,3,3,3.1979,4,0.002052222,0.002604723,0.006158739,0.716455425,0.766345978,1.469431554,0.543066399,0.653019428,1.169982712,O89110;Q4FK85;A0A087WQT6,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,Casp8
16.31463623,13.46917915,14.86772537,17.33123207,16.48230362,16.53941727,16.09459305,15.07330513,17.23444366,16.81440735,18.14648819,17.71859932,16.919981,13.25418186,17.13530922,13.13241863,,,,,,,1,1,1,2.8909,5,0.88360207,-1.718544722,-1.749744183,0.087518424,-0.176812172,-0.241122906,0.368399638,-0.923952341,-0.849571989,Q91XC8;A0A087WR57,Death-associated protein 1,Dap
16.30335236,16.76564789,16.84854889,16.70563316,16.26457024,16.17747879,15.67123699,17.55374908,16.55044556,15.94539833,17.36768723,15.13675117,15.93514156,16.70035934,16.63707733,16.68400955,,,,,,,3,3,3,2.6649,2,0.227586672,0.13384366,0.565673553,0.435746254,0.367760181,0.976231061,0.194729907,0.256658316,0.49431159,P49138;A0A087WSN7;A0A4P3APB9,MAP kinase-activated protein kinase 2,Mapkapk2
15.20143509,15.49962807,17.95372963,16.02158737,13.49669456,16.01661301,16.90324593,17.50175858,16.09514999,15.66558552,16.37259293,15.98530865,14.86355686,15.57580471,15.6529007,15.49088192,,,+,BV2 + IL10_BV2 CONTROL,,,5,5,5,19.808,6,0.679403329,0.775198698,1.406436025,1.327740827,1.806408167,2.492270819,0.991349614,1.335675001,1.928814152,P42225;Q9D323;Q8C497;Q8C3V4;Q3TW11;Q8C8M3;A0A087WSP5;Q99K94;Q91Y52,Signal transducer and activator of transcription 1;Signal transducer and activator of transcription,Stat1
15.39693928,14.89931011,14.89855385,14.91232777,15.56872845,14.79826927,16.81415749,15.70284939,15.51960564,15.36094952,15.00220013,15.37741375,15.19525719,15.48491764,16.29612732,13.61263847,,,,,,,3,3,2,3.7572,5,0.740214438,-0.284271002,-1.509618081,0.286804904,0.332627058,0.68886138,0.510374277,-0.518825293,-1.111835489,Q3TLH4;S4R294;S4R2J9;A0A0A0MQ79;Q3TLH4-5;S4R209,Protein PRRC2C,Prrc2c
18.810709,18.79702759,18.15313721,18.34169197,17.66400337,18.41683006,18.80057144,17.98904037,18.8889637,18.61568642,13.73547363,19.43371582,18.87972069,19.05499649,18.73588562,18.93289566,,,,,,,1,1,1,1.795,12,0.191668975,0.16028595,0.487538172,0.428118973,-1.204582214,-0.962111994,0.094676967,0.113486767,0.259228046,Q3UMC0;Q9D3R6;D3Z0U5;D6RGM7;A0A0E4D027;A0A0E4HJ81;D3Z4J2;A0A0E3WJP9;A0A0E4D014;A0A0E4HEY7;A0A0G2JFY0;A0A0A0MQ80;B7ZNK9;Q9D3R6-3,Spermatogenesis-associated protein 5;Katanin p60 ATPase-containing subunit A-like 2,Spata5;Katnal2
13.98907089,13.38559246,15.37856579,14.67791176,13.16365337,15.12020397,13.45963669,15.20401955,14.35411167,12.61415768,15.58448982,12.30762768,13.81568336,13.00488758,18.86704254,13.30149651,,,,,,,1,1,1,3.5385,2,0.194592399,-0.299419403,-0.494007784,0.873594812,1.991803885,1.733079022,0.020363551,0.042134047,0.059883095,P97352;A0A0A0MQ90,Protein S100-A13,S100a13
13.92241573,14.67032146,16.93375969,18.61780548,14.59406185,17.89823532,20.22552681,16.95048714,13.7974577,17.52962875,13.09219742,19.3638649,18.84211731,13.07578182,16.80271912,17.13460732,,,,,,,19,5,5,13.39,5,0.112264975,0.504478693,0.302877747,0.333397316,1.474537611,0.781737164,1.062955649,2.727678061,2.047795623,P68368;A0A0A0MQA5,Tubulin alpha-4A chain,Tuba4a
14.83387852,15.02184772,14.67997456,15.15801811,14.64018822,15.61194706,14.14274502,15.11914349,15.2766695,15.7807188,15.71440697,14.49153996,15.22671318,16.16254807,15.0104847,14.71096802,,,,,,,1,1,1,1.0136,2,1.212217224,0.649903059,2.297080466,0.10946537,-0.107459545,-0.29600594,0.22365827,-0.124444962,-0.55726497,Q9QXZ0;F7ACR9;Q9QXZ0-4;A0A0A0MQH5;Q80TZ5;F6Q750;A0A571BGC6;A0A571BF93;A0A0A0MQA6;E9QNP1;B1ARU1;E9QA63;B1ARU4;E9PVY8;Q9QXZ0-3;Q9QXZ0-2,Microtubule-actin cross-linking factor 1,Macf1
23.50178909,23.85490799,23.77966499,23.6866703,23.28883934,23.68720436,24.06652832,23.74077797,23.57207298,23.87408257,24.6296196,23.95943069,23.6408596,23.61436653,23.78895187,23.97211075,+,BV2 + TGFB_BV2 CONTROL,+,BV2 + IL10_BV2 CONTROL,+,BV2 + LPS_BV2 CONTROL,17,17,1,268.8,1207,1.383640042,0.256750107,2.587708057,1.419939293,0.565300941,2.650085824,1.729594448,0.338857174,3.198373419,P16858;A0A0A0MQF6;A0A1D5RLD8;S4R257,Glyceraldehyde-3-phosphate dehydrogenase,Gapdh
16.88452911,16.412817,17.79480934,17.14180756,16.56297302,16.50433731,17.62763405,17.35388756,16.81252861,16.74044037,17.80353928,15.96040916,16.11636353,16.89982986,16.55859947,16.68318748,,,+,BV2 + IL10_BV2 CONTROL,,,7,7,7,17.797,19,0.079181055,0.045257568,0.219773811,1.312969648,0.852046967,2.467168647,0.215175602,0.190724373,0.538997144,Q9D906;S4R2D5;Q3TM87;Q3TAB9;A0A0A0MQN4;S4R2T5,Ubiquitin-like modifier-activating enzyme ATG7,Atg7
17.56985474,17.22872543,18.76198578,17.52083397,17.65277481,16.55331421,18.14355278,19.17560387,18.42701721,17.19940376,13.85048389,15.02559185,16.27848625,18.78411102,18.40132904,17.66219521,,,,,,,2,2,2,4.5121,13,0.021276719,-0.040644646,-0.062507129,0.054903658,-0.192695379,-0.155874144,0.049213188,-0.13597703,-0.140494706,Q921L3;A0A0A6YVS2;Q3V4A0,Transmembrane and coiled-coil domain-containing protein 1,Tmco1
15.70157719,15.79398441,15.51619244,16.04249382,16.21750259,15.74041367,16.08366585,16.42893219,16.44415665,16.2898922,16.58681107,16.49337006,16.33826637,16.30477905,16.43410683,15.89142799,,,,,,,1,1,1,6.632,9,0.261004823,-0.143108368,-0.635970825,0.023831522,-0.020181656,-0.06982195,0.062261257,0.038680315,0.175525684,Q9JKV1;Q8VCI8;D3YUD8;A0A0A6YVU8,Proteasomal ubiquitin receptor ADRM1,Adrm1;Gm9774
16.18336487,15.25819778,15.81855679,15.68420029,16.99788475,15.31125164,13.88633156,16.89994621,15.45535946,16.07888031,16.32340622,16.41119576,15.78680611,15.62019157,15.48129463,16.02342987,,,,,,,4,4,4,10.078,4,0.681370669,-0.538723469,-1.409791806,0.543180487,-0.728456497,-1.170184469,0.132575884,0.148839235,0.351922938,Q80UM3;A0A0A6YW80;G3X8Y3;A0A0A6YX86;Q9DBB4;A0A0A6YXF4;E9PZ53,"N-alpha-acetyltransferase 15, NatA auxiliary subunit;N-alpha-acetyltransferase 16, NatA auxiliary subunit",Naa15;Naa16
14.24183178,15.0537138,16.29329109,14.51606941,16.94615173,13.65814781,14.34124088,17.552248,16.81840706,12.71082592,16.44273376,13.16522789,14.914814,14.73126602,13.62717247,15.27324963,,,,,,,2,2,2,4.1088,5,1.008805877,-1.691812754,-1.957805684,0.227889822,-0.554191589,-0.566321104,0.210217316,-0.603602409,-0.528247151,A0A0A6YW87;Q9CX13,Protein cornichon homolog 4,Cnih4
14.47078609,14.460392,14.82550526,14.73296261,14.33594894,15.05023098,14.57319355,14.6227951,14.77705002,15.31829548,15.15766239,15.16659451,15.32154083,14.85008907,14.89690018,14.86452484,,,,,,,1,1,1,3.8769,1,0.283240442,0.19342041,0.681620456,0.219671323,0.136983871,0.548698013,0.190392169,0.120387793,0.484706106,Q8BMG7;Q3UEY3;A0A0A6YWM5;E9QKE4;Q8BMG7-2,Rab3 GTPase-activating protein non-catalytic subunit,Rab3gap2
15.42583847,14.98361683,15.85096836,16.6504631,15.63117695,17.10931969,14.38937283,15.9856863,16.02526855,16.58502197,16.58449364,15.81643391,14.88437176,16.04300499,16.75551414,16.14288521,,,,,,,1,1,1,5.0214,4,0.642291591,0.688576937,1.342875248,0.284907643,0.403423309,0.685009803,1.157201697,0.657203197,2.204903311,Q6PGA0;Q8CFE3;A0A0A6YWY4;A0A140T8R7;B2RSN6;A0A0A6YWP7;A0A0A6YXM5;Q6PGA0-2,REST corepressor 3;REST corepressor 1,Rcor3;Rcor1
14.96405792,16.1891098,17.25275803,13.3788271,12.11452484,17.00008774,14.09898472,16.6718998,16.09975815,16.31270599,16.84708214,14.89615726,16.19269753,17.43688965,16.3578434,14.60930634,,,,,,,2,2,2,5.1133,2,0.973940459,1.891938686,1.899902951,0.501138577,1.296407461,1.095281396,0.013363058,0.046288013,0.039597144,Q80TY0;Q80TY0-4;Q80TY0-3;A0A0A6YWT1;A2AQ43;A2AQ44;A2AQ42;A2AQ45;A2AQ41;Q80TY0-2;Q61053;F6VVN1;Q80TY0-5,Formin-binding protein 1,Fnbp1
17.20438004,17.76849365,18.95951462,18.55681992,17.88160324,18.14320374,18.77696609,18.18466187,17.64061165,17.89474678,19.01767349,17.73714256,17.35913277,17.53958321,18.67741776,18.02512932,,,+,BV2 + IL10_BV2 CONTROL,+,BV2 + LPS_BV2 CONTROL,8,8,8,35.619,34,0.798385613,0.315074921,1.607451158,3.653075155,1.336461067,7.873266494,1.42386769,0.604506493,2.656856778,Q8BVE3;A0A0A6YX18;A0A0A6YWP6,V-type proton ATPase subunit H,Atp6v1h
20.29401016,13.94977665,14.23895645,20.45040512,19.98328781,20.26487732,19.23118782,19.46889496,20.30619049,20.5731144,20.346138,20.5859127,20.60023308,13.01214409,20.05152321,20.35153961,,,,,,,1,1,1,-2,1,0.82917218,-3.345952272,-1.658970753,0.60301915,-1.828979015,-1.275015251,0.106699638,-0.081742287,-0.28918954,P48760;P48760-4;A0A0A6YX96;A2AK70;P48760-2;P48760-5;P48760-3,"Folylpolyglutamate synthase, mitochondrial",Fpgs
14.78958416,14.77355099,16.59127426,15.55107689,13.95409203,14.93822765,16.46264648,17.07504082,13.35429192,15.4306488,14.55885601,15.87785912,15.57352924,15.45468521,17.12857819,12.62212753,,,,,,,3,3,3,2.0031,4,0.688073016,0.731403828,1.421214688,1.263734937,1.767464399,2.38381961,0.349499863,0.863651752,0.813133885,A2A8Z1;Q8R0G3;Q5FWX7;E9Q6C1;F6UHR6;E9PXZ2;A0A0A6YXH3;A0A1S6GWJ0;A2A8Z1-2,Oxysterol-binding protein-related protein 9;Oxysterol-binding protein,Osbpl9
16.55280495,16.49810219,16.93985558,16.30659485,16.33430862,16.75564384,17.00820923,17.42546272,16.27559662,13.19463539,14.20455647,14.63994408,15.83152962,16.88750648,16.31144714,16.32124138,,,,,,,1,1,1,1.8209,3,0.180457642,-0.414587975,-0.462533344,0.070348571,-0.132542849,-0.19683458,0.044157177,-0.075249195,-0.126692961,Q8BGS7;D3Z5Y5;D3YX12;A0A0A6YXR0;Q8BGS7-2,Choline/ethanolaminephosphotransferase 1,Cept1
16.04891205,13.25852013,16.38769722,13.7706337,16.37909126,12.96720028,15.97716808,16.42377281,16.52406693,14.2379837,17.5357151,14.31006908,16.16923904,17.03981781,16.3550415,14.69940376,,,,,+,BV2 + LPS_BV2 CONTROL,1,1,1,12.962,6,1.056788612,-1.90444684,-2.037540026,0.344030358,0.283578157,0.802506886,1.353775311,-1.479357481,-2.536630102,O70480;A0A0A6YY66;Q8BSN6,Vesicle-associated membrane protein 4,Vamp4
17.38936234,17.2114315,17.14081001,17.82656097,17.21190643,16.71504974,15.84365082,17.40440941,16.88321686,16.60527611,18.34948921,17.58460999,16.86821938,17.16201782,16.48551559,17.29607391,,,,,+,BV2 + LPS_BV2 CONTROL,3,3,2,11.658,13,0.354527821,-0.164732456,-0.822869931,0.087999675,-0.133309841,-0.242346493,1.359584613,0.43973732,2.546549338,O35343;Q3UGH8;A0A0B4J1E7;D3YTN1,Importin subunit alpha-3,Kpna4
17.95787239,18.00377083,17.60458183,18.39234352,17.95463943,17.76363945,17.70144272,17.82513237,18.09104347,18.11069679,17.56301689,17.35207748,16.82351685,18.40011978,17.72912979,18.65189934,,,,,,,4,4,4,10.862,30,0.514420725,0.362788677,1.119070048,0.068338367,-0.057225227,-0.191565776,0.363130283,0.348595142,0.839455952,Q6ZWU9;A0A0G2JDW7;Q6ZWY3;A0A0G2JG29;D6RH49;D3YYB0,40S ribosomal protein S27;40S ribosomal protein S27-like,Rps27;Rps27l
17.35388756,17.32544518,16.43135071,17.5140667,17.03241158,16.85647392,16.46959496,18.09954262,16.43265533,17.13109398,14.43162823,16.79740906,17.71216393,17.69649124,17.48620605,17.65794563,,,,,,,3,3,3,7.8859,13,0.139889119,0.119596481,0.36925161,0.638192374,-0.928084612,-1.335822578,0.450481479,0.384461403,1.003360992,P61079;P62838;A0A494BAN1;A0A0G2JE32;Q9D1S1;A0A0G2JGL0;A0A494BA56;Q9D7F5;Q3U5V6,Ubiquitin-conjugating enzyme E2 D3;Ubiquitin-conjugating enzyme E2 D2,Ube2d3;Ube2d2
18.26425934,18.38671303,19.37979317,19.60025024,18.31703186,18.88046837,19.48365021,19.11255646,19.25421143,19.22333717,19.75909424,19.00766182,19.69779968,18.88016891,19.16746712,19.02893639,,,,,,,5,5,5,36.282,63,0.035678331,-0.040653706,-0.103246775,0.737493294,0.564175606,1.505022946,0.342125213,0.30402565,0.798796337,Q920E5;Q5M8R9;Q3US29;A0A0G2JEA5;Q3TMB3;A0A0G2JDJ5;A0A0G2JEB3,Farnesyl pyrophosphate synthase,Fdps
17.04526901,16.54351616,16.38399124,15.96149445,16.54127884,16.47859573,14.55782223,16.72013664,16.40615463,16.48560905,15.81528282,15.09015369,17.08700752,12.89416122,16.30187035,16.19364166,,,,,,,2,2,2,8.4134,7,0.601797402,-1.169456959,-1.272893148,1.157688777,-1.005185843,-2.205717632,1.058914569,-0.77857089,-2.041075181,Q9CWZ3;Q9CWZ3-2;A0A0G2JEA9;A0A0G2JFX7;A0A0N4SUH6,RNA-binding protein 8A,Rbm8a
16.30142403,15.69239712,17.08990479,16.48947144,16.33198357,17.7818718,17.83719635,16.94683838,16.13059044,17.2962532,17.62356758,16.12052155,13.22749519,17.86042023,17.17455482,15.98741913,,,+,BV2 + IL10_BV2 CONTROL,,,2,2,2,11.343,9,0.927771436,1.65986228,1.823208477,1.321818785,1.933432579,2.482201295,0.518958827,0.888189316,1.127170656,Q9JK48;A0A0G2JEC4;Q9JK48-3;Q9JK48-2;A0A0G2JF57;A0A0G2JE45,Endophilin-B1,Sh3glb1
16.31398201,16.06882095,16.62399483,17.21797752,16.27986526,16.45645142,13.58931065,16.74740601,15.76476765,16.00818825,17.22486877,16.3844471,16.05331039,16.19100189,16.2124958,15.89822388,,,,,,,3,3,3,3.1314,8,0.190650467,0.078134298,0.485279353,0.08489324,-0.190313816,-0.234431742,0.732285395,0.459032297,1.496223267,Q3UHD6;A0A0G2JF85;Q3UHD6-2,Sorting nexin-27,Snx27
17.04644203,16.61941719,16.82152557,16.14031029,16.82065201,16.91765213,15.83474255,16.14326286,16.82413864,18.11217499,17.2039032,16.16223335,16.55074692,16.57663155,16.52539825,16.45744514,,,,,+,BV2 + LPS_BV2 CONTROL,3,3,3,4.1246,13,0.271533951,0.245974064,0.657692322,0.291427713,-0.214102507,-0.698221901,2.42528166,-0.584681988,-4.583680353,Q91WJ8;Q0P6B2;Q3TUE1;A0A0G2JGW9;Q3TIS5;A0A0G2JFY5;Q3UUU2;Q91WJ8-2;A0A0G2JFK2;A0A0G2JG00,Far upstream element-binding protein 1,Fubp1
16.80700302,15.81039619,16.67645264,14.40467548,16.95265007,16.2952137,17.77642059,17.11003494,15.71263409,15.82888031,17.18968964,15.64044285,15.85938931,15.7690115,15.67049026,16.31592751,,,,,,,5,5,5,11.664,13,0.554994731,-0.407043695,-1.191035734,0.39650683,0.495344162,0.903001788,0.297141344,-0.465148926,-0.7097447,O35286;A0A0G2JG10;Q3UDX4;Q497W9;Q3TFE5;A0A0G2JGQ5,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,Dhx15
18.96121216,20.96803665,19.43884087,19.73851204,19.56398582,20.86347771,18.80208778,18.41637611,21.08452988,21.02877426,20.21691132,19.77416992,22.0604229,19.78128052,19.76613426,20.03603935,,,,,,,3,3,3,6.352,26,0.118101936,0.242854595,0.317115866,0.516904095,-0.861544132,-1.1235046,0.540208124,-0.926263332,-1.164925524,A0A0G2JGD2;P07091,Protein S100-A4,S100a4
16.95594406,16.46361923,17.20170212,17.32764053,17.20752907,17.55719376,16.08304214,17.24674034,17.18746758,17.18659782,17.93778801,16.99634171,16.83861351,17.22288895,16.79981232,16.69356918,,,,,,,4,4,4,23.648,18,0.088423235,0.060186386,0.243422627,0.036345948,-0.041802406,-0.105106944,0.038356263,0.018684387,0.110693583,P54729;A0A0G2JGQ4;A0PJ90;A0JLP6,NEDD8 ultimate buster 1,Nub1
18.0237751,17.73562241,17.87747574,17.14220619,17.68503571,17.14250565,18.70401192,18.20079231,17.62421036,17.73489571,17.98403931,17.72480774,18.17489624,17.20457077,18.4774971,17.60754776,,,,,,,4,4,4,12.524,30,1.042406883,-0.422580719,-2.013631613,0.802652359,0.383776665,1.614600581,0.351657814,-0.20814085,-0.817316341,P63073;A0A0G2JGT5;A0A0G2JH04;Q8C470;A0A0G2JG98;A0A0G2JFB4,Eukaryotic translation initiation factor 4E,Eif4e
